"'美国核武库遭黑客攻击 一核武实验室也发现可疑活动', '原标题：美国核武库遭黑客攻击，一核武实验室也发现可疑活动视频来源：微博@央视军事（01：09）@央视军事12月19日消息，美媒18日爆料，美国核武库疑遭黑客攻击，一名安全官员称：“这看起来是美国历史上最严重的黑客案件。”美国能源部和美国国家核安全局掌握的证据显示，有黑客入侵其网络。美国最重要的核武实验室之一洛斯·阿拉莫斯国家实验室的网络中也发现可疑活动。（原题为《美媒曝美核武库遭黑客攻击》）"
"'特朗普前助理：总统可动用军事力量推翻选举结果', '原标题：特朗普能否推翻选举结果 前助理：总统可动用军事力量“如果他（特朗普）愿意，他可以下令动用军事力量，在各摇摆州基本上重新举行选举。”据美国《国会山报》18日消息，当地时间17日，此前被特朗普“赦免”的前总统国家安全事务助理迈克尔·弗林，在节目中谈及美大选结果时这样说道。不过他同时表示，自己不是在呼吁特朗普这么做。报道称，当天在“Newsmax”的一档节目中，弗林被问及特朗普可以采取哪些行动来推翻选举结果。而弗林表示特朗普可以在输给拜登的摇摆州动用军事力量。“如果他（特朗普）愿意，他可以下令动用军事力量，在各摇摆州基本上重新举行选举。”弗林回答道。弗林还补充说，动用军队“并不是史无前例的（事情）”，不过他同时也表示，自己“不是在呼吁（特朗普）这样做”。《国会山报》提到，在弗林发表上述言论之际，美国总统和他的盟友继续声称特朗普赢得了选举，并表示存在广泛的选举欺诈行为。虽然本月14日，美国各地选举人已经进行投票，正式选举民主党人约瑟夫·拜登为下一任美国总统。而在上月25日，特朗普宣布赦免前总统国家安全事务助理迈克尔·弗林的全部罪名。"
"'美内部邮件曝光 类似“UFO”专利通过审查并造出样机', '据美国TheDrive网站《战争地点》专栏12月16日报道，美国海军内部邮件曝光，类似“UFO”的专利通过了内部审查并制造出了演示机。美国海军内部的大量的电子邮件表明，佩斯博士的发明专利似乎并不是伪科学《战争地带》专栏一直在跟踪由神秘的发明家萨尔瓦托·佩斯（Salvatore Pais）博士撰写的奇异的美国海军专利，以及美国专利和商标局（USPTO）批准它们的异常情况。作为调查的一部分，《战争地带》最近从美国海军航空系统司令部（NAVAIR）获得了一系列内部电子邮件。这些电子邮件增加了有关萨尔瓦托·佩斯（Salvatore Pais）发明的背景知识，并表明这些专利经过了比以前更严格的内部评估过程。这些电子邮件似乎还表明，源自这些专利的研究项目实际上确实在进行某种形式的实验性演示。这些专利包括许多奇异的技术，例如“高温超导体”，“高频引力波发生器”，类似力场的“电磁场发生器”，“等离子压缩聚变装置”以及具有“惯性质量减少装置”的航天/水下混合动力飞行器。它们听起来确实像科幻小说中的东西，似乎在描述具有类似UFO性能的飞行器的理论体系。佩斯博士的发明专利“使用惯性质量减少装置的飞行器”中的一幅配图这些美国海军的发明都归功于萨尔瓦托·佩斯博士，他在提交专利申请时是一名航空工程师。佩斯最近的每一项发明都应用了所谓“佩斯效应”，发明人在众多出版物中将其描述为“带电物质（从固体到等离子体）在加速旋转和/或加速振动下的受控运动”，快速（但很平稳）的加速度瞬变。”海军航空系统司令部（NAVAIR）的领导层在USPTO的上诉中为这些专利争辩，于缺乏实验证据，这些专利及其基本概念经常被相关领域的专家所嘲笑。尽管如此，《战争地带》从佩斯博士那里获得了一份声明，发明人声称他的工作将“有一天”会被证明是正确的。美国麻省理工学院的SPARC核聚变反应堆的技术似乎与佩斯博士的发明有关报道称，佩斯博士的发明专利尽管看起来像是伪科学，并且有一些USPTO的专家并不相信他们，但的确有一些专家认为这些理论是可行的。它们究竟如何，只能靠时间来检验了。"
"'俄罗斯“章鱼”坦克通过多关测试：可浮渡 能空降', '原标题：俄罗斯“章鱼”坦克通过多关测试：可浮渡 能空降参考消息网12月19日报道 据《俄罗斯报》网站12月18日报道，俄罗斯在黑海水域对“章鱼-SDM1”坦克进行的测试证明，这种战车无需准备就能在3级海况下破浪前行。它还能在航行时射击并登上未经处理的海岸。报道称，苏联的PT-76被认为是20世纪最好的两栖坦克。种种情况表明，俄罗斯的“章鱼-SDM1”将继承这项桂冠，在未来数十年中成为同类坦克中最优秀的一员。这种新一代两栖坦克配备125毫米口径火炮及导弹复合武器系统，能在不补加燃油的情况下行驶500公里。它能通过登陆舰和军用运输机进行装运，还能在乘员组留在坦克车内的情况下实施登陆和伞降。报道介绍，“章鱼-SDM1”的火力不弱于T-80和T-90坦克，其陆上机动能力甚至比它们更强，此外它还很会“游泳”。“章鱼-SDM1”能在高山和热带高温气候条件下开展作战行动，它所接受的测试证明了它这方面的能力。俄罗斯国家技术集团公司工业经理别克汉·奥兹多耶夫说：“在国家测试过程中，这种轻型坦克经历并成功通过了海上、俄中部地区及温度超过40摄氏度的亚热带地区的极限检验。明年年初计划对其进行低温条件下的测试。可以期待，‘章鱼’所展现的能力将令外国买家产生兴趣。”报道称，“章鱼-SDM1”曾在“军队-2020”国际军事技术论坛上进行了有效的展示，引发了印度军方的强烈兴趣。据印度媒体报道，有关印度购买首批这种两栖坦克的谈判已在今年夏天启动。"
"'外媒：美军五代战机与XQ58A""忠诚僚机""通信遭遇阻碍', '原标题：外媒：美军五代战机与无人机通信遭遇阻碍参考消息网12月19日报道 据飞行国际网站12月15日报道，美国空军F-22、F-35A和XQ-58A飞机编队飞行，试图通过“一号门户”机载通信系统进行数据共享，但遭遇阻碍。XQ-58A12月9日，美国空军F-22“猛禽”隐形战斗机、F-35A“闪电”Ⅱ战斗机以及XQ-58A“女武神”无人机在亚利桑那州的美国陆军尤马试验场进行了首次编队飞行。F-22和F-35A由洛克希德-马丁公司生产，XQ-58A由空军研究实验所和克拉托斯防务与安全解决方案公司联合研制。此次编队飞行是试图展示所有三款飞机之间数据传输能力的努力的一部分。美国空军12月14日说，F-22和F-35A成功地利用一款名为“一号门户”机载通信系统（gatewayONE）的新技术分享了数据，但XQ-58A无法连上系统。报道称，F-22战机和F-35战机所使用的最安全的通信系统无法进行直接联通。（F-35使用多功能先进数据链，而F-22使用机间数据链）。第五代战斗机的通讯系统能力匮乏这一点让国防部感到头疼，并迫使国防部在军事行动中采取复杂的变通措施。“一号门户”机载通信系统则允许对数据格式进行转换，这样信息就可以在两款飞机之间直接传递了。美国空军说：“‘一号门户’不仅可以在这些格式之间转换，而且在这次测试中，它对通常交给一个作战中心或战术地面节点的数据进行转移，首次直接将其推入位于多域战场边缘的飞机座舱。此外，此次测试通过‘一号门户’系统推送了临近飞机以外的每个平台的位置数据，以便地面或空中的作战指挥官能够更好地协调行动。”空军说，“一号门户”机载通信系统还“将来自地面操作员的跟踪或提示传递给两款战斗机，并首次将一条提示从F-35A战机传递给F-22战机”。空军还说，这些信息呈现在飞机的正常显示屏上。“一号门户”是美国空军先进战场管理系统（ABMS）开发计划的一部分，该计划旨在创建一个军方物联网，以便迅速和自动地将信息传递到战场各地。国防部希望飞行员、水手和陆军士兵能够掌握更多信息，从而帮助他们迅速发现敌人并作出更快的反应。第59试飞中队的F-35飞行员埃里克·赖特中校说：“未来很有希望，‘一号门户’将使F-22和F-35能够接入它们以前从未接入的数据源，并向这些数据源传送信息。这些未来的连接将把更多的战场感知带入驾驶舱，并为美军作战一体化提供便利。”作为12月9日演示飞行的一部分，XQ-58A“女武神”无人机借助火箭发射出去，并首次与F-22和F-35并肩进行“半自主”飞行。美国空军说：“‘一号门户’装置被整合进‘女武神’无人机，以供其进行与第五代战斗机的首飞，该次飞行是为了从一个可消耗平台上对门户能力进行初步测试。然而，起飞后不久，与‘一号门户’装置的连接断开了，那些测试目标也就无法实现了。”美国空军说，这个示范飞行项目有18项测试目标，其中9项成功完成。"
"'巴基斯坦：印度军队朝联合国车辆开火致两辆汽车受损', '原标题：巴基斯坦：印度军队朝联合国车辆开火（观察者网讯）巴基斯坦武装部队发言人12月18日晚间在社交媒体发文称，印度军方当天在印巴停火线的巴方一侧奇里科特（Chirikot）段无故开火，并将载有2名军事观察员的联合国车辆作为目标。巴基斯坦方面表示，这两名观察员此行的目的是前往一个名叫波拉斯（Polas）的村庄，并与当地因违反停火协议而遭受损失的受害者进行交流。巴方还特别指出，这两辆联合国车辆的车身上有明确的标识，足以在很远的地方被识别。两辆车在事件中受损，而联合国工作人员则在事后被巴方营救并撤离。受损的联合国车辆。（图自巴基斯坦军方社交媒体）"
"'五角大楼全面暂停过渡工作？美代理防长否认', '原标题：五角大楼全面暂停过渡工作？美代理防长否认图源：俄罗斯卫星通讯社海外网12月19日电 俄罗斯卫星通讯社18日报道称，美国国防部代理防长米勒18日发声明，否认媒体此前有关五角大楼停止与当选总统拜登团队展开过渡工作的报道，称国防部从来没有取消或拒绝谈话，假期过后将继续提供必要支持。美国政治新闻网站Axios18日援引消息人士的话透露，米勒已下令全面暂停与拜登团队的过渡工作。米勒18日晚些时候否认了该消息，称“在经双方同意的假期过后，我们将继续过渡，并从今天开始重新安排会议时间。”米勒补充说：“国防部将继续向审查组提供所有必要的支持，以便保障国家和公民的安全。国防部从来没有取消或者拒绝谈话。截至目前，国防部已与200多名工作人员进行了139次会谈，回应了161项信息请求，解密了4400页未公开信息以及900页机密文件。”拜登团队18日则回应称，“双方没有就假期休息达成共识，我们认为这期间简报会和其他安排都很重要，因为没有多余的时间了。”（海外网 张琪）"
"'阿塞拜疆总统阿利耶夫：纳卡冲突已成为历史', '原标题：阿塞拜疆总统阿利耶夫：纳卡冲突已成为历史中新网12月18日电 据俄罗斯卫星网18日报道，阿塞拜疆总统阿利耶夫表示，纳卡冲突已是过去时。他还指出，停火制度得以维持，并会“日渐稳固”。据报道，阿利耶夫在独联体国家元首理事会会议上说，“谈到纳卡冲突，我们已经可以说是过去时了，已经成为历史。”报道称，在谈及俄罗斯在纳卡地区执行维和任务时，阿利耶夫指出，任务“执行地非常成功”，并表示纳卡地区的停火制度得以维持，同时，他还认为这一制度“会越来越稳固”。2020年9月27日，亚美尼亚和阿塞拜疆因纳卡问题爆发新一轮冲突。经过不断斡旋，俄罗斯总统普京、阿塞拜疆总统阿利耶夫、亚美尼亚总理帕希尼扬签署联合声明，宣布纳卡地区11月10日起完全停火。"
"'美军火巨头将帮日本造隐形机 以跟上“中国步伐”', '[环球网报道 记者 徐璐明]据路透社12月18日报道，F-35战斗机制造商美国洛克希德·马丁公司将帮助日本制造一款新型隐形战斗机，日本航空自卫队希望在本世纪30年代中期装备这款战斗机，以跟上中国飞机制造技术进步的步伐。报道称，日本防卫省在上周五的新闻发布会上表示，洛克希德·马丁公司将与日本F-X战斗机项目的主承包商日本三菱重工合作。在30年前，两家公司也曾开展类似合作以研发F-2喷气式战斗机。日本的新一代战斗机预计耗资400亿美元，将用于取代F-2战斗机。洛马曾提出了一种以F-35和F-22战机为基础的混合设计方案，但这一提议遭到日本的拒绝，日本转而采用国内的设计方案。其他有兴趣参与日本F-X战机研发的外国公司还有美国波音公司和诺斯罗普·格鲁曼公司，以及英国的BAE系统公司和航空发动机制造商罗尔斯·罗伊斯。日本方面则表示，该国将继续寻求组与英美等国在F-X项目上的合作，以获得新技术并降低开发成本。"
"'五名印军在酒吧与平民起冲突 一名飞行员被打进医院', '据《印度斯坦时报》网站12月18日报道，近日，有五名印度军人在阿萨姆邦古瓦哈蒂市的一家酒吧与平民发生了冲突，其中一名印度空军飞行员在斗殴中被打伤住院。据印度媒体报道，近日一名印度空军飞行员和他的四名同伴（都来自印度军队）来到了当地的一家小酒馆，他们与两名印度平民发生了争执。随后，两名平民被酒馆员工赶了出去。但在一段时间过后，这五名印度军人离开酒馆时，就和一伙身份不明的平民发生了激烈的冲突。当地警方在12月17日证实，在冲突中，这名印度空军飞行员被打伤。据印度媒体称，受伤的飞行员随即被送往当地的私营医院，当地警方表示，受伤飞行员的状态稳定，已经脱离危险。尽管早在12月14就此事提交了立案调查，但目前参与斗殴的平民身份尚未能确认，警方仍在调查之中。值得一提的是，印度媒体并未透露涉事飞行员的详细信息。而据《印度经济时报》网站今年11月末的报道称，印度政府已批准建立首批三个联合军事后勤基地，来负责150万印度武装部队的联合后勤保障工作，而其中一个基地就位于古瓦哈蒂。印度媒体称，这一步骤是朝着向在印度三大军种之间建立急需的联合后勤保障，并最终建立统一的战区司令部迈出的关键一步。"
