:START_ID,:END_ID,name,:TYPE
e249,e249,中文名,中文名
e249,e42800,别名,别名
e249,e31582,民族,民族
e249,e39710,出生日期,出生日期
e249,e40492,逝世日期,逝世日期
e249,e51419,职业,职业
e249,e2951,代表作品,代表作品
e249,e14135,官职,官职
e249,e18435,追赠,追赠
e249,e49193,谥号,谥号
e249,e28004,国籍,国籍
e33985,e33985,中文名,中文名
e33985,e8620,逝世日期,逝世日期
e33985,e22006,职务,职务
e33985,e15699,参加革命时间,参加革命时间
e39432,e39432,中文名,中文名
e39432,e47601,别名,别名
e39432,e42360,逝世日期,逝世日期
e39432,e15272,毕业院校,毕业院校
e39432,e31582,民族,民族
e39432,e53245,职务,职务
e39432,e39383,出生地,出生地
e39432,e13224,出生日期,出生日期
e33192,e33192,中文名,中文名
e33192,e20229,地点,地点
e33192,e25545,性质,性质
e33192,e39274,职能,职能
e34536,e34536,中文名,中文名
e34536,e44220,国籍,国籍
e34536,e5401,出生日期,出生日期
e34536,e11017,逝世日期,逝世日期
e34536,e2215,职业,职业
e34536,e19220,信仰,信仰
e34536,e43657,性别,性别
e36146,e36146,中文名,中文名
e36146,e50064,出生日期,出生日期
e36146,e43147,出生地,出生地
e36146,e43657,性别,性别
e47193,e47193,中文名,中文名
e47193,e313,外文名,外文名
e47193,e5516,定义,定义
e47193,e11999,特点,特点
e10390,e10390,本名,本名
e10390,e23117,去世时间,去世时间
e10390,e24430,参军时间,参军时间
e10390,e50001,政治面貌,政治面貌
e26812,e50580,出生地,出生地
e26812,e25828,出生日期,出生日期
e26812,e26812,中文名,中文名
e26812,e25828,逝世日期,逝世日期
e13398,e13398,中文名,中文名
e13398,e29382,参加革命时间,参加革命时间
e13398,e37127,生前职务,生前职务
e52142,e52142,名称,名称
e52142,e28640,地点,地点
e52142,e6081,时间,时间
e52142,e51329,参战方,参战方
e34694,e34694,中文名,中文名
e34694,e24407,外文名,外文名
e34694,e20504,出生地,出生地
e34694,e47899,出生日期,出生日期
e34694,e19003,逝世日期,逝世日期
e34536,e34536,中文名,中文名
e34536,e44220,国籍,国籍
e34536,e31582,民族,民族
e34536,e5401,出生日期,出生日期
e34536,e11017,逝世日期,逝世日期
e34536,e2215,职业,职业
e34536,e19220,信仰,信仰
e34536,e43657,性别,性别
e23027,e23027,中文名,中文名
e23027,e2144,又称,又称
e23027,e49070,口径,口径
e23027,e49129,堪称,堪称
e16736,e16736,中文名,中文名
e16736,e37127,职务,职务
e16736,e5054,参加革命时间,参加革命时间
e42475,e42475,中文名,中文名
e42475,e35320,所属国,所属国
e42475,e1551,导弹射程,导弹射程
e53264,e53264,中文名,中文名
e53264,e32705,弹夹容量,弹夹容量
e53264,e16631,外文名,外文名
e53264,e47654,发射机构,发射机构
e53264,e7533,握把镶片,握把镶片
e53264,e39788,照门,照门
e53264,e31523,枪管长,枪管长
e53264,e42749,高度,高度
e53264,e366,宽度,宽度
e53264,e35570,发射模式,发射模式
e53264,e3094,研发日期,研发日期
e53264,e7222,生产日期,生产日期
e34536,e31582,民族,民族
e53224,e53224,中文名,中文名
e53224,e34983,时间,时间
e53224,e50580,籍贯,籍贯
e34548,e34548,名称,名称
e34548,e11282,地点,地点
e34548,e32617,参战方,参战方
e34548,e9967,结果,结果
e1284,e1284,中文名,中文名
e1284,e31514,定义,定义
e1284,e2847,时期,时期
e1284,e13854,意义,意义
e22122,e22122,中文名,中文名
e22122,e6853,出生地,出生地
e22122,e43657,性别,性别
e22122,e35402,出生日期,出生日期
e27282,e27282,中文名,中文名
e27282,e44220,国籍,国籍
e27282,e44220,出生地,出生地
e27282,e13590,民族,民族
e1982,e53010,原为,原为
e1982,e38506,现为,现为
e1982,e47671,属于,属于
e1982,e1982,中文名,中文名
e39902,e39902,中文名,中文名
e39902,e30918,外文名,外文名
e39902,e11444,生产方,生产方
e39902,e45609,M代表,M代表
e39902,e34687,K代表,K代表
e39902,e51907,I代表,I代表
e39902,e49778,机型,机型
e38218,e38218,中文名称,中文名称
e38218,e29236,服役时间,服役时间
e38218,e10878,设计者,设计者
e38218,e45870,国家,国家
e31166,e31166,中文名,中文名
e31166,e44220,国籍,国籍
e31166,e36300,逝世日期,逝世日期
e1699,e1699,中文名,中文名
e1699,e51920,出生日期,出生日期
e1699,e7869,逝世日期,逝世日期
e31166,e24867,出生日期,出生日期
e11882,e11882,中文名,中文名
e11882,e25515,逝世日期,逝世日期
e11882,e37300,籍贯,籍贯
e11882,e44192,安葬地,安葬地
e31410,e31410,中文名,中文名
e31410,e7258,地点,地点
e31410,e26955,对象,对象
e31410,e11563,类型,类型
e19836,e19836,中文名,中文名
e19836,e44220,国籍,国籍
e19836,e23614,出生地,出生地
e19836,e32925,职业,职业
e29034,e29034,中文名,中文名
e29034,e44220,国籍,国籍
e29034,e25044,出生日期,出生日期
e11882,e31200,出生日期,出生日期
e29034,e39802,逝世日期,逝世日期
e29034,e18710,职业,职业
e5947,e5947,中文名,中文名
e5947,e6128,出生日期,出生日期
e29034,e48991,出生地,出生地
e12566,e12566,中文名,中文名
e12566,e31769,逝世日期,逝世日期
e12566,e23117,参加革命,参加革命
e12566,e16453,牺牲地点,牺牲地点
e36464,e36464,中文名,中文名
e36464,e42886,出生日期,出生日期
e36464,e9629,逝世日期,逝世日期
e36464,e43657,性别,性别
e36464,e45348,生前职位,生前职位
e36464,e50035,牺牲地点,牺牲地点
e49851,e49851,本名,本名
e49851,e16252,所处时代,所处时代
e49851,e23721,出生地,出生地
e49851,e43657,性别,性别
e49851,e6930,谥号,谥号
e33179,e33179,中文名,中文名
e33179,e27207,籍贯,籍贯
e33179,e36307,出生日期,出生日期
e33179,e6440,职业,职业
e20187,e20187,中文名,中文名
e20187,e23969,别名,别名
e20187,e44220,国籍,国籍
e20187,e32737,政治面貌,政治面貌
e22997,e22997,中文名,中文名
e22997,e14950,主要机载设备,主要机载设备
e22997,e39682,作战半径,作战半径
e22997,e11069,机翼面积,机翼面积
e5947,e35408,逝世日期,逝世日期
e8130,e8130,中文名,中文名
e8130,e44220,国籍,国籍
e8130,e27704,出生日期,出生日期
e8130,e1554,逝世日期,逝世日期
e8130,e32934,职业,职业
e8130,e39828,毕业院校,毕业院校
e8130,e52602,信仰,信仰
e8130,e21207,主要成就,主要成就
e8130,e31582,民族,民族
e8130,e23928,出生地,出生地
e29123,e29123,中文名,中文名
e29123,e23117,逝世日期,逝世日期
